nohup: ignoring input
/home/kuautobot/miniconda3/envs/torch/lib/python3.11/site-packages/osgeo/gdal.py:330: FutureWarning: Neither gdal.UseExceptions() nor gdal.DontUseExceptions() has been explicitly called. In GDAL 4.0, exceptions will be enabled by default.
  warnings.warn(
/home/kuautobot/miniconda3/envs/torch/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
[lstm] Epoch 1/50 train_loss=0.3855 val_loss=0.3811 lr=1.00e-03
[transformer] Epoch 13/60 train_loss=0.3806 val_loss=0.3805 lr=4.00e-04
[transformer] Epoch 14/60 train_loss=0.3806 val_loss=0.3804 lr=2.00e-04
[transformer] Epoch 15/60 train_loss=0.3805 val_loss=0.3803 lr=2.00e-04
[transformer] Epoch 16/60 train_loss=0.3805 val_loss=0.3803 lr=2.00e-04
[transformer] Epoch 17/60 train_loss=0.3805 val_loss=0.3803 lr=2.00e-04
[transformer] Epoch 18/60 train_loss=0.3805 val_loss=0.3803 lr=2.00e-04
[transformer] Epoch 19/60 train_loss=0.3805 val_loss=0.3803 lr=2.00e-04
[transformer] Epoch 20/60 train_loss=0.3805 val_loss=0.3803 lr=1.00e-04
[transformer] Epoch 21/60 train_loss=0.3804 val_loss=0.3803 lr=1.00e-04
[transformer] Epoch 22/60 train_loss=0.3804 val_loss=0.3803 lr=1.00e-04
[transformer] Epoch 23/60 train_loss=0.3804 val_loss=0.3803 lr=1.00e-04
[transformer] Epoch 24/60 train_loss=0.3804 val_loss=0.3803 lr=5.00e-05
[transformer] Epoch 25/60 train_loss=0.3804 val_loss=0.3802 lr=5.00e-05
[transformer] Epoch 26/60 train_loss=0.3804 val_loss=0.3802 lr=5.00e-05
[transformer] Epoch 27/60 train_loss=0.3804 val_loss=0.3802 lr=5.00e-05
[transformer] Epoch 28/60 train_loss=0.3804 val_loss=0.3803 lr=2.50e-05
[transformer] Epoch 29/60 train_loss=0.3804 val_loss=0.3802 lr=2.50e-05
[transformer] Epoch 30/60 train_loss=0.3804 val_loss=0.3802 lr=2.50e-05
[transformer] Epoch 31/60 train_loss=0.3804 val_loss=0.3802 lr=2.50e-05
[transformer] Epoch 32/60 train_loss=0.3804 val_loss=0.3802 lr=2.50e-05
[transformer] Epoch 33/60 train_loss=0.3804 val_loss=0.3802 lr=1.25e-05
[transformer] Epoch 34/60 train_loss=0.3804 val_loss=0.3802 lr=1.25e-05
[transformer] Epoch 35/60 train_loss=0.3804 val_loss=0.3802 lr=1.25e-05
[transformer] Epoch 36/60 train_loss=0.3804 val_loss=0.3802 lr=1.25e-05
[transformer] Epoch 37/60 train_loss=0.3804 val_loss=0.3802 lr=6.25e-06
[transformer] Epoch 38/60 train_loss=0.3804 val_loss=0.3802 lr=6.25e-06
[transformer] Epoch 39/60 train_loss=0.3804 val_loss=0.3802 lr=6.25e-06
/media/kuautobot/DATA1/Modify/python/test.py:172: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  best_state=torch.load(f"model_{tag}_best.pt",map_location="cpu")
[transformer] Epoch 40/60 train_loss=0.3804 val_loss=0.3802 lr=6.25e-06
[transformer] Early stop at epoch 40
